wrapper                                              worker candidates
FairPlayDisposeStorage                               ['0x17d710']
FairPlayGenerateKeybagRequestWithTransactionType     ['0x17d5e0']
FairPlayGenerateSubscriptionBagRequest               ['0x17d670']
FairPlayGenerateSubscriptionLeaseRequest             ['0x17d5d0']
FairPlayGetAndroidGUIDFields                         ['0x17d620']
FairPlayGetDeviceSupportInfo                         ['0x17d610']
FairPlayGetGUID                                      ['0x17d6a0']
FairPlayGetSubscriptionStatus                        ['0x17d640']
FairPlayImportKeybagWithContentDeletion              ['0x17d5c0']
FairPlayImportSubscriptionBag                        ['0x17d650']
FairPlayInitContext                                  ['0x17d6f0']
FairPlayIsValidContext                               ['0x17d700']
FairPlayJSSign                                       ['0x17d680']
FairPlayLoadLibraryWithPath                          ['0x17d630']
FairPlaySAPExchange                                  ['0x17d6d0']
FairPlaySAPInit                                      ['0x17d6b0']
FairPlaySAPPrimeForAction                            ['0x17d5f0']
FairPlaySAPProcessResponse                           ['0x17d600']
FairPlaySAPSign                                      ['0x17d6e0']
FairPlaySAPTeardown                                  ['0x17d6c0']
FairPlaySetAndroidID                                 ['0x17d690']
FairPlayStopSubscriptionLease                        ['0x17d660']
